#Table1
objid,ra,dec,specobjid,ra1,dec1
1237678907323777693,10.0999617890571,10.5435557024784,5114020268550150144,10.099958,10.543552
1237678907860648576,10.1006649512141,10.8487842724853,6986344265690667008,10.100662,10.84878
1237678906786972361,10.2410280852285,10.1439088849866,12437979414821885952,10.241028,10.143909
1237678918061588783,10.2413244380218,11.2777812086851,6981973981831387136,10.241323,11.277782
1237678919135330848,10.3854291680451,12.0856639006791,12432308134483351552,10.385429,12.085664
1237678920209072287,10.3864755258594,12.9390511250368,12432306210338002944,10.386474,12.93905
1237678907323908395,10.3867012957605,10.4008532222012,12437989585304442880,10.386701,10.400853
1237678919135395934,10.5279245824835,12.2101781232612,12432297414244980736,10.527925,12.210178
1237678906787103310,10.5293443397372,10.0918505173888,5114056002678052864,10.529342,10.091847
1237678920209203658,10.6530908996251,12.8821752585395,6982917364150196224,10.653092,12.882174
1237678859549934061,10.7630089115106,12.7036089089355,6982904170010662912,10.763008,12.703608
1237678920209269324,10.7641688456466,12.9462047290094,6983029514336229376,10.764168,12.946204
1237679319094002442,10.9010512036659,10.350180797234,6986313204487182336,10.901051,10.350181
1237678906787233828,10.9016838405086,10.0436453810632,6986323649847646208,10.901681,10.043643
1237678858476323285,11.0468974979099,11.9486337257484,6986379450062755840,11.046896,11.948631
1237678920209399816,11.0469358671589,12.8647787977219,6982896473429268480,11.046934,12.86478
1237679320167809230,11.0471407305949,11.0615117681024,6986315678388344832,11.047142,11.061508
1237678859550065503,11.0483752180727,12.7223359288802,12432270751088007168,11.048375,12.722336
1237678857939452205,11.0484923178206,11.4512417542187,6986392644202289152,11.048495,11.451243
1237679319094132871,11.1840892203589,10.3594079627924,6986301934492997632,11.184089,10.359407
1237678857939517882,11.1852533793996,11.5519757564583,6982875857586247680,11.18525,11.551978
1237678907324301579,11.3277395919993,10.4338679629116,6986286816208115712,11.327739,10.43387
1237678907324366937,11.4734184652219,10.3984402555156,5114106305335023616,11.473419,10.39844
1237678919135789530,11.4744946663187,12.0565886888479,6986401165417404416,11.474493,12.056585
1237678907324432897,11.6166668394267,10.4478634331927,12438064626973038592,11.616667,10.447863
1237678918599114968,11.8736296779256,11.6945986105824,6986437174423214080,11.873628,11.694598
