#Table1
specobjid,ra,dec
6981959963058132992,10.000357,11.546516
6368340111655196672,10.000824,12.036671
6368339012143568896,10.003079,12.055854
6976079500045211648,10.003315,12.38825
6981956389645342720,10.003931,11.992693
6981736487319787520,10.00486,10.934401
5114021093183870976,10.006173,10.355144
6981954190622087168,10.006424,12.235967
6368118010306385920,10.008426,10.509074
6368339561899382784,10.009699,11.906418
5114020543428057088,10.010101,10.577471
6368117185672665088,10.01239,10.199391
12437965396048631808,10.013093,10.403961
6368340661411010560,10.015209,11.986746
6982957496324610048,10.016048,12.238464
6981957489156970496,10.016257,11.709907
6368342860434266112,10.017318,11.884033
12432321603500791808,10.017398,12.901124
6983000927033907200,10.022432,12.986933
6981956664523249664,10.022905,12.005465
6981963261593016320,10.023078,11.134144
6981732639029090304,10.024906,10.338238
6368347533358684160,10.025912,11.119694
12437979964577699840,10.026064,10.071576
6982951723888564224,10.026223,12.80741
6981953640866273280,10.026836,12.077837
6368341760922638336,10.027513,11.739509
6981963811348830208,10.029239,11.112118
6368119384695920640,10.030445,10.634078
6981959138424412160,10.031648,11.58432
6976080599556839424,10.033278,12.942769
5114021368061777920,10.035634,10.283199
6981957764034877440,10.036744,11.846606
6368116086161037312,10.036871,10.057892
12432319954233350144,10.041881,12.635765
6981955015255808000,10.042806,12.13446
6982997353621116928,10.044775,12.964626
6368118560062199808,10.045607,10.792286
5114019169038522368,10.0479,10.496704
6982948425353680896,10.049211,12.564193
6368347258480777216,10.051529,11.206002
5114019443916429312,10.054059,10.550211
6368340386533103616,10.055344,11.882125
6368348083114498048,10.056895,11.074807
6368347808236591104,10.057455,11.162218
6982943477551355904,10.058739,11.818632
6976081149312653312,10.059494,12.947165
5114020818305964032,10.059834,10.47478
6368345059457521664,10.061325,11.536321
6981958863546505216,10.061723,11.657818
6976076201510328320,10.064474,12.66177
5114021917817591808,10.064485,10.286607
6981725767081416704,10.065242,11.000403
6982949524865308672,10.065487,12.727904
12437976116287002624,10.067264,10.287157
6368342035800545280,10.06734,11.706664
5114021642939684864,10.068732,10.397746
6981954465499994112,10.069287,12.186097
6981956939401156608,10.069964,11.711608
5114023292207126528,10.072844,10.197243
6981962162081388544,10.0745,11.301866
6981953915744180224,10.075654,12.293917
6986345914958108672,10.077739,10.931286
12437976391164909568,10.078152,10.314119
6368340936288917504,10.079617,11.797432
6976080324678932480,10.080008,12.714232
5114019718794336256,10.080684,10.636755
6986353061783689216,10.086671,11.525748
12432309508872886272,10.087536,12.517013
6368346983602870272,10.087538,11.207248
6982949249987401728,10.094719,12.733716
5114020268550150144,10.099958,10.543552
6986344265690667008,10.100662,10.84878
6982951998766471168,10.104418,12.874642
6981953091110459392,10.106275,12.256169
6981960787691853824,10.106791,11.436559
6368113337381967872,10.107693,10.330515
6368108664457549824,10.10969,10.666752
5114023841962940416,10.109861,10.285606
6981723568058161152,10.110139,10.775645
6981724392691881984,10.111214,10.854929
6981954740377901056,10.113204,12.235002
6983000652156000256,10.113897,12.975312
6368104266411038720,10.114223,10.140172
6981962436959295488,10.114233,11.104241
12437978315310258176,10.1151,10.12025
6982942378039728128,10.11709,11.745923
6368110313724991488,10.120298,10.988284
12437976940920723456,10.124141,10.473862
6981724942447695872,10.124285,10.883493
6982950899254843392,10.128442,12.820655
6982951449010657280,10.12873,12.844019
5114022467573405696,10.129651,10.268041
6982948700231587840,10.13179,12.65453
6981964635982551040,10.132836,12.223317
12437979689699792896,10.134876,10.251534
12432314456675211264,10.136448,12.733667
6368349732381939712,10.136493,12.215304
5114024391718754304,10.13726,10.482806
6982999002888558592,10.138042,12.984167
6981724667569788928,10.139207,10.802632
6982951174132750336,10.140055,12.778545
5114019993672243200,10.142271,10.61052
6986354161295316992,10.143164,11.42358
6986345365202294784,10.143315,10.998297
12437979139943979008,10.144145,10.229302
6981964910860457984,10.145617,12.257857
12432317205454280704,10.146334,12.765016
6986357459830200320,10.146518,11.090959
6368348357992404992,10.147743,11.08418
6982996803865303040,10.14829,12.938859
6368107839823828992,10.148715,10.610621
6368346158969149440,10.149323,11.359735
6368346708724963328,10.149324,11.334736
6982952273644378112,10.149392,12.851497
5114035386835032064,10.149918,10.006919
6368343135312173056,10.151222,11.295256
12432315831064745984,10.155755,12.852433
6368345334335428608,10.159689,11.316967
6368110588602898432,10.160152,10.98496
6982943752429262848,10.160656,11.899923
5114030439032707072,10.161302,10.610793
5114032088300148736,10.163888,10.397905
6982939904138565632,10.167002,12.917869
12437977490676537344,10.17095,10.450338
5114034012445497344,10.171112,10.077383
6368109214213363712,10.171268,10.681917
6986345090324387840,10.173661,11.012072
6982939354382751744,10.175033,12.848648
6981721094156998656,10.178998,10.403795
6986357184952293376,10.179933,11.226298
12432316930576373760,10.180439,12.874917
6368350007259846656,10.180798,12.049059
6981961887203481600,10.182658,11.203123
